SP:,MV:,error:
0,48,-48
0,43,-43
0,39,-39
0,35,-35
0,32,-32
0,29,-29
0,26,-26
0,24,-24
0,21,-21
0,19,-19
0,17,-17
0,16,-16
0,14,-14
0,13,-13
0,11,-11
0,10,-10
0,9,-9
0,8,-8
0,7,-7
0,7,-7
0,6,-6
0,5,-5
0,5,-5
0,4,-4
0,4,-4
0,4,-4
0,3,-3
0,3,-3
0,2,-2
0,2,-2
0,2,-2
0,2,-2
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
50,0,50
50,4,46
50,9,41
50,13,37
50,16,34
50,19,31
50,22,28
50,25,25
50,27,23
50,30,20
50,31,19
50,33,17
50,34,16
50,36,14
50,37,13
50,38,12
50,40,10
50,40,10
50,41,9
50,42,8
50,42,8
50,43,7
50,44,6
50,44,6
50,45,5
50,45,5
50,45,5
50,46,4
50,46,4
50,46,4
50,47,3
50,47,3
50,47,3
50,47,3
50,47,3
50,48,2
50,48,2
50,48,2
50,48,2
50,48,2
50,48,2
50,48,2
50,48,2
50,48,2
50,48,2
50,48,2
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
50,49,1
6,49,-43
6,45,-39
6,41,-35
6,37,-31
6,34,-28
6,31,-25
6,29,-23
6,27,-21
6,25,-19
6,23,-17
6,21,-15
6,19,-13
6,18,-12
6,17,-11
6,16,-10
6,15,-9
6,14,-8
6,13,-7
6,12,-6
6,12,-6
6,11,-5
6,10,-4
6,10,-4
6,10,-4
6,9,-3
6,9,-3
6,8,-2
6,8,-2
6,8,-2
6,8,-2
6,7,-1
6,7,-1
6,7,-1
6,7,-1
6,7,-1
6,7,-1
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,6,0
6,5,1
6,5,1
6,5,1
6,6,0
6,5,1
60,5,55
60,11,49
60,16,44
60,20,40
60,24,36
60,27,33
60,30,30
60,33,27
60,36,24
60,38,22
60,40,20
60,42,18
60,43,17
60,45,15
60,46,14
60,48,12
60,49,11
60,50,10
60,51,9
60,52,8
60,52,8
60,53,7
60,53,7
60,54,6
60,55,5
60,55,5
60,55,5
60,56,4
60,56,4
60,56,4
60,57,3
60,57,3
60,57,3
60,57,3
60,57,3
60,58,2
60,58,2
60,58,2
60,58,2
60,58,2
60,58,2
60,58,2
60,59,1
60,59,1
60,59,1
60,59,1
60,59,1
60,59,1
60,59,1
60,59,1
60,59,1
60,59,1
60,59,1
60,59,1
60,59,1
60,59,1
60,59,1
80,59,21
80,61,19
80,63,17
80,65,15
80,66,14
80,67,13
80,68,12
80,69,11
80,70,10
80,71,9
80,72,8
80,73,7
80,73,7
80,74,6
80,74,6
80,75,5
80,75,5
80,76,4
80,76,4
80,76,4
80,77,3
80,77,3
80,77,3
80,77,3
80,78,2
80,78,2
80,78,2
80,78,2
80,78,2
80,78,2
80,78,2
80,78,2
80,79,1
80,78,2
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
80,79,1
2,79,-77
2,72,-70
2,65,-63
2,59,-57
2,53,-51
2,48,-46
2,43,-41
2,39,-37
2,36,-34
2,32,-30
2,29,-27
2,27,-25
2,24,-22
2,22,-20
2,20,-18
