"08:36:09,34",->,SP:,PV:,error:,diff
"08:36:09,34",->,0,0,0,
"08:36:09,44",->,0,0,0,"00:00:00,10"
"08:36:09,54",->,0,0,0,"00:00:00,10"
"08:36:09,67",->,0,0,0,"00:00:00,13"
"08:36:09,77",->,0,0,0,"00:00:00,10"
"08:36:09,83",->,0,0,0,"00:00:00,07"
"08:36:09,97",->,0,0,0,"00:00:00,13"
"08:36:10,07",->,0,0,0,"00:00:00,10"
"08:36:10,17",->,0,0,0,"00:00:00,10"
"08:36:10,23",->,0,0,0,"00:00:00,07"
"08:36:10,37",->,0,0,0,"00:00:00,13"
"08:36:10,47",->,0,0,0,"00:00:00,10"
"08:36:10,57",->,0,0,0,"00:00:00,10"
"08:36:10,63",->,0,0,0,"00:00:00,07"
"08:36:10,77",->,0,0,0,"00:00:00,13"
"08:36:10,86",->,0,0,0,"00:00:00,10"
"08:36:10,96",->,0,0,0,"00:00:00,10"
"08:36:11,06",->,0,0,0,"00:00:00,10"
"08:36:11,16",->,0,0,0,"00:00:00,10"
"08:36:11,26",->,0,0,0,"00:00:00,10"
"08:36:11,36",->,0,0,0,"00:00:00,10"
"08:36:11,46",->,0,0,0,"00:00:00,10"
"08:36:11,56",->,0,0,0,"00:00:00,10"
"08:36:11,66",->,0,0,0,"00:00:00,10"
"08:36:11,76",->,0,0,0,"00:00:00,10"
"08:36:11,86",->,0,0,0,"00:00:00,10"
"08:36:11,96",->,0,0,0,"00:00:00,10"
"08:36:12,06",->,0,0,0,"00:00:00,10"
"08:36:12,16",->,0,0,0,"00:00:00,10"
"08:36:12,26",->,0,0,0,"00:00:00,10"
"08:36:12,36",->,0,0,0,"00:00:00,10"
"08:36:12,46",->,0,0,0,"00:00:00,10"
"08:36:12,56",->,0,0,0,"00:00:00,10"
"08:36:12,78",->,0,0,0,"00:00:00,22"
"08:36:12,78",->,0,0,0,"00:00:00,00"
"08:36:12,86",->,0,0,0,"00:00:00,08"
"08:36:12,96",->,0,0,0,"00:00:00,10"
"08:36:13,06",->,0,0,0,"00:00:00,10"
"08:36:13,19",->,0,0,0,"00:00:00,13"
"08:36:13,26",->,0,0,0,"00:00:00,07"
"08:36:13,36",->,0,0,0,"00:00:00,10"
"08:36:13,45",->,0,0,0,"00:00:00,10"
"08:36:13,59",->,0,0,0,"00:00:00,13"
"08:36:13,65",->,0,0,0,"00:00:00,07"
"08:36:13,75",->,0,0,0,"00:00:00,10"
"08:36:13,89",->,0,0,0,"00:00:00,13"
"08:36:13,99",->,0,0,0,"00:00:00,10"
"08:36:14,05",->,0,0,0,"00:00:00,07"
"08:36:14,15",->,0,0,0,"00:00:00,10"
"08:36:14,28",->,0,0,0,"00:00:00,13"
"08:36:14,38",->,0,0,0,"00:00:00,10"
"08:36:14,48",->,0,0,0,"00:00:00,10"
"08:36:14,58",->,0,0,0,"00:00:00,10"
"08:36:14,68",->,0,0,0,"00:00:00,10"
"08:36:14,78",->,0,0,0,"00:00:00,10"
"08:36:14,88",->,0,0,0,"00:00:00,10"
"08:36:14,98",->,0,0,0,"00:00:00,10"
"08:36:15,08",->,0,0,0,"00:00:00,10"
"08:36:15,18",->,0,0,0,"00:00:00,10"
"08:36:15,28",->,0,0,0,"00:00:00,10"
"08:36:15,38",->,0,0,0,"00:00:00,10"
"08:36:15,48",->,0,0,0,"00:00:00,10"
"08:36:15,58",->,50,0,50,"00:00:00,10"
"08:36:15,68",->,50,4,46,"00:00:00,10"
"08:36:15,78",->,50,9,41,"00:00:00,10"
"08:36:15,88",->,50,13,37,"00:00:00,10"
"08:36:15,98",->,50,16,34,"00:00:00,10"
"08:36:16,08",->,50,19,31,"00:00:00,10"
"08:36:16,18",->,50,22,28,"00:00:00,10"
"08:36:16,28",->,50,25,25,"00:00:00,10"
"08:36:16,38",->,50,27,23,"00:00:00,10"
"08:36:16,48",->,50,29,21,"00:00:00,10"
"08:36:16,58",->,50,31,19,"00:00:00,10"
"08:36:16,68",->,50,33,17,"00:00:00,10"
"08:36:16,78",->,50,34,16,"00:00:00,10"
"08:36:16,88",->,50,36,14,"00:00:00,10"
"08:36:16,97",->,50,37,13,"00:00:00,10"
"08:36:17,07",->,50,38,12,"00:00:00,10"
"08:36:17,17",->,50,39,11,"00:00:00,10"
"08:36:17,27",->,50,40,10,"00:00:00,10"
"08:36:17,41",->,50,41,9,"00:00:00,13"
"08:36:17,51",->,50,42,8,"00:00:00,10"
"08:36:17,57",->,50,43,7,"00:00:00,07"
"08:36:17,67",->,50,43,7,"00:00:00,10"
"08:36:17,80",->,50,44,6,"00:00:00,13"
"08:36:17,90",->,50,44,6,"00:00:00,10"
"08:36:17,97",->,50,45,5,"00:00:00,07"
"08:36:18,10",->,50,45,5,"00:00:00,13"
"08:36:18,20",->,50,45,5,"00:00:00,10"
"08:36:18,30",->,50,46,4,"00:00:00,10"
"08:36:18,40",->,50,46,4,"00:00:00,10"
"08:36:18,50",->,50,47,3,"00:00:00,10"
"08:36:18,60",->,50,47,3,"00:00:00,10"
"08:36:18,70",->,50,47,3,"00:00:00,10"
"08:36:18,80",->,50,47,3,"00:00:00,10"
"08:36:18,90",->,50,47,3,"00:00:00,10"
"08:36:19,00",->,50,47,3,"00:00:00,10"
"08:36:19,10",->,50,48,2,"00:00:00,10"
"08:36:19,20",->,50,48,2,"00:00:00,10"
"08:36:19,29",->,50,48,2,"00:00:00,10"
"08:36:19,39",->,50,48,2,"00:00:00,10"
"08:36:19,49",->,50,48,2,"00:00:00,10"
"08:36:19,59",->,50,48,2,"00:00:00,10"
"08:36:19,69",->,50,48,2,"00:00:00,10"
"08:36:19,79",->,50,48,2,"00:00:00,10"
"08:36:19,89",->,50,48,2,"00:00:00,10"
"08:36:19,99",->,50,48,2,"00:00:00,10"
"08:36:20,09",->,50,48,2,"00:00:00,10"
"08:36:20,22",->,50,49,1,"00:00:00,13"
"08:36:20,29",->,50,49,1,"00:00:00,07"
"08:36:20,39",->,50,49,1,"00:00:00,10"
"08:36:20,52",->,50,49,1,"00:00:00,13"
"08:36:20,62",->,50,49,1,"00:00:00,10"
"08:36:20,69",->,50,49,1,"00:00:00,07"
"08:36:20,79",->,50,49,1,"00:00:00,10"
"08:36:20,92",->,50,49,1,"00:00:00,13"
"08:36:21,02",->,50,49,1,"00:00:00,10"
"08:36:21,12",->,50,49,1,"00:00:00,10"
"08:36:21,22",->,50,49,1,"00:00:00,10"
"08:36:21,32",->,50,49,1,"00:00:00,10"
"08:36:21,41",->,50,49,1,"00:00:00,10"
"08:36:21,51",->,50,49,1,"00:00:00,10"
"08:36:21,61",->,50,49,1,"00:00:00,10"
"08:36:21,71",->,50,49,1,"00:00:00,10"
"08:36:21,81",->,50,49,1,"00:00:00,10"
"08:36:21,91",->,50,49,1,"00:00:00,10"
"08:36:22,01",->,50,49,1,"00:00:00,10"
"08:36:22,11",->,50,49,1,"00:00:00,10"
"08:36:22,21",->,50,49,1,"00:00:00,10"
"08:36:22,31",->,50,49,1,"00:00:00,10"
"08:36:22,41",->,50,49,1,"00:00:00,10"
"08:36:22,51",->,50,49,1,"00:00:00,10"
"08:36:22,61",->,50,49,1,"00:00:00,10"
