SP: MV: error: 
43  0 43 
43  9 34 
43  16  27 
43  22  21 
43  26  17 
43  30  13 
43  32  11 
43  32  11 
43  32  11 
43  32  11 
43  32  11 
43  32  11 
43  32  11 
43  33  10 
43  33  10 
43  33  10 
43  33  10 
86  33  53 
86  44  42 
86  53  33 
86  60  26 
86  66  20 
86  70  16 
86  74  12 
86  76  10 
86  76  10 
86  76  10 
86  76  10 
86  76  10 
16  76  -60 
16  63  -47 
16  53  -37 
16  44  -28 
16  38  -22 
16  32  -16 
16  28  -12 
16  27  -11 
16  27  -11 
16  27  -11 
16  27  -11 
16  27  -11 
16  27  -11 
16  27  -11 
56  27  29 
56  33  23 
56  39  17 
56  40  16 
56  40  16 
56  40  16 
56  40  16 
56  40  16 
56  40  16 
56  40  16 
56  40  16 
56  40  16 
56  40  16 
56  40  16 
56  40  16 
